Newton Group|Location is: S.W. 14th|1|07:30:00|08:30:00|SW 14th St, Newton, KS 67114|38.0282601|-97.35577760000001
Kingman AA Group #1|Location is: Upstairs, to the left!|4|01:00:00|02:00:00|113 A Ave E, Kingman, KS 67068|37.6431261|-98.1130202
Kingman AA Group #1|Location is: Upstairs, to the left!|1|20:00:00|21:00:00|115 A Ave E, Kingman, KS 67068|37.6431262|-98.1129899
Kingman AA Group #1|Location is: Upstairs, to the left!|6|20:00:00|21:00:00|115 A Ave E, Kingman, KS 67068|37.6431262|-98.1129899
Friendship Group 4|Location is: Friendship Group|6|00:00:00|01:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|6|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|6|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|6|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|2|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|2|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|2|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 4|Location is: Friendship Group|7|00:00:00|01:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|7|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|7|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|7|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|1|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|1|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|1|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|5|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|5|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|5|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|3|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|3|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|3|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group|Location is: Friendship Group|4|12:00:00|13:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 2|Location is: Friendship Group|4|17:30:00|18:30:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Friendship Group 3|Location is: Friendship Group|4|20:00:00|21:00:00|3030 N Meridian, WICHITA, KS 67204|37.73822800000001|-97.370499
Newcomers Group|Location is: Newcomers Group|6|12:00:00|13:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|6|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|2|12:00:00|13:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|2|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|7|12:00:00|13:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|7|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|1|11:00:00|12:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|1|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|5|12:00:00|13:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group 2|Location is: Newcomers Group|5|18:30:00|19:30:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|5|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|3|12:00:00|13:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group 2|Location is: Newcomers Group|3|18:30:00|19:30:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|3|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|4|12:00:00|13:00:00|540 W 29th St N, WICHITA, KS 67204|37.737631|-97.3444551
Newcomers Group|Location is: Newcomers Group|4|20:00:00|21:00:00|540 W 29th N, WICHITA, KS 67204|37.737631|-97.3444551
Winners Group|Location is: Winners Group|6|12:00:00|13:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 2|Location is: Winners Group|6|17:30:00|18:30:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|6|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group|Location is: Winners Group|2|12:00:00|13:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 2|Location is: Winners Group|2|17:30:00|18:30:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|2|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 5|Location is: Winners Group|7|08:30:00|09:30:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|7|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|1|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group|Location is: Winners Group|5|12:00:00|13:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 2|Location is: Winners Group|5|17:30:00|18:30:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|5|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group|Location is: Winners Group|3|12:00:00|13:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 2|Location is: Winners Group|3|17:30:00|18:30:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 4|Location is: Winners Group|3|18:45:00|19:45:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|3|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group|Location is: Winners Group|4|12:00:00|13:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 2|Location is: Winners Group|4|17:30:00|18:30:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Winners Group 3|Location is: Winners Group|4|20:00:00|21:00:00|541 N Hoover, WICHITA, KS 67212|37.692467|-97.40826900000002
Beginners Group 2|Location is: Beginners Group|6|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group|Location is: Beginners Group|2|17:30:00|18:30:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group 2|Location is: Beginners Group|2|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group 2|Location is: Beginners Group|7|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group|Location is: Beginners Group|1|17:30:00|18:30:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group 2|Location is: Beginners Group|1|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group 2|Location is: Beginners Group|5|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group 2|Location is: Beginners Group|3|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Beginners Group 2|Location is: Beginners Group|4|20:00:00|21:00:00|204 W 18th, WICHITA, KS 67203|37.717422|-97.33978000000002
Northrock Group|Location is: Northrock Group|6|12:10:00|13:10:00|7404 Killarney (St Stephens Episcopal), WICHITA, KS |37.7000529|-97.2501598
Parklane Group 2|Location is: Parklane Group|6|14:30:00|15:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|6|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|6|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 5|Location is: Parklane Group|6|20:30:00|21:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Northrock Group|Location is: Northrock Group|2|12:10:00|13:10:00|7404 Killarney (St. Stephens Episcopal), WICHITA, KS |37.7000529|-97.2501598
Parklane Group 2|Location is: Parklane Group|2|14:30:00|15:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|2|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Back to Basics Group|Location is: Back to Basics Group|2|19:00:00|20:00:00|7601 E 13th (Reformation Lutheran- upstairs), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|2|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
O.D.A.A.T. Group|Location is: O.D.A.A.T. Group|2|20:00:00|21:00:00|156 S Kansas-MCC - Enter through door on English, WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 5|Location is: Parklane Group|2|20:30:00|21:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Northrock Group|Location is: Northrock Group|7|11:00:00|12:00:00|7404 Killarney (St Stephens Episcopal), WICHITA, KS |37.7000529|-97.2501598
Parklane Group 6|Location is: Parklane Group|7|16:00:00|17:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|7|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|7|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Grand Group|Location is: Grand Group|7|20:00:00|21:00:00|8901 E Orme (Via-Christi Good Shepherd Cafeteria), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 5|Location is: Parklane Group|7|20:30:00|21:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group|Location is: Parklane Group|1|12:00:00|13:00:00|951 S Glendale  (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 7|Location is: Parklane Group|1|14:00:00|15:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 8|Location is: Parklane Group|1|15:30:00|16:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|1|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|1|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Northrock Group|Location is: Northrock Group|5|12:10:00|13:10:00|7404 Killarney (St Stephens Episcopal), WICHITA, KS |37.7000529|-97.2501598
Thursday Afternoon Ladies Group|Location is: Thursday Afternoon Ladies Group|5|13:30:00|14:30:00|202 N Clifton (Plymouth Cong. -Commons Room-basement), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 2|Location is: Parklane Group|5|14:30:00|15:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Third Tradition Group|Location is: Third Tradition Group|5|17:30:00|18:30:00|8021 W 21st N (Good Shepherd Episcopal NW corner of church), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|5|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|5|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Traditions Group|Location is: Traditions Group|5|19:30:00|20:30:00|12626 E 21st N ( Magdelen-St Joseph's Room), WICHITA, KS |37.68888889999999|-97.33611109999998
O.D.A.A.T. Group|Location is: O.D.A.A.T. Group|5|20:00:00|21:00:00|156 S Kansas-MCC -Enter through door on English, WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 5|Location is: Parklane Group|5|20:30:00|21:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Northrock Group|Location is: Northrock Group|3|12:10:00|13:10:00|7404 Killarney-(St Stephens Episcopal), WICHITA, KS |37.7000529|-97.2501598
Parklane Group 2|Location is: Parklane Group|3|14:30:00|15:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Third Tradition Group|Location is: Third Tradition Group|3|17:30:00|18:30:00|8021 W 21st N (Good Shepherd- NW door of church), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|3|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Brothers & Sisters of the Circle|Location is: Brothers & Sisters of the Circle|3|19:00:00|20:00:00|2308 E Central (Hunter Health Clinic), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|3|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Common Solutions Group|Location is: Common Solutions Group|3|19:00:00|20:00:00|2801 W 15th-Asbury U.M., WICHITA, KS |37.711246|-97.37509599999998
Wanderers Group|Location is: Wanderers Group|3|19:00:00|20:00:00|4301 W Maple (Christ the King -Charity Hall- Bsmt), WICHITA, KS |37.68888889999999|-97.33611109999998
College Hill Group|Location is: College Hill Group|3|19:30:00|20:30:00|3820 E Douglas (Blessed Sacrament -Bsmt), WICHITA, KS |37.68888889999999|-97.33611109999998
Traditions Group|Location is: Traditions Group|3|19:30:00|20:30:00|12626 E 21st N ( Magdelen-St Joseph's Room), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 5|Location is: Parklane Group|3|20:30:00|21:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
#1 Lunch Group|Location is: #1 Lunch Group|4|12:00:00|13:00:00|830 S Hillside- In Coffee Shop, WICHITA, KS |37.68888889999999|-97.33611109999998
Northrock Group|Location is: Northrock Group|4|12:10:00|13:10:00|7404 Killarney-(St Stephens Episcopal), WICHITA, KS |37.7000529|-97.2501598
Parklane Group 2|Location is: Parklane Group|4|14:30:00|15:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 3|Location is: Parklane Group|4|17:30:00|18:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 4|Location is: Parklane Group|4|19:00:00|20:00:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Fairmount Group|Location is: Fairmount Group|4|19:30:00|20:30:00|1650 Fairmount (Church of Christ) Through south door-take elevat, WICHITA, KS |37.68888889999999|-97.33611109999998
O.D.A.A.T. Group|Location is: O.D.A.A.T. Group|4|20:00:00|21:00:00|156 S Kansas-MCC -Enter through door on English, WICHITA, KS |37.68888889999999|-97.33611109999998
Parklane Group 5|Location is: Parklane Group|4|20:30:00|21:30:00|951 S Glendale (Parklane SC), WICHITA, KS |37.68888889999999|-97.33611109999998
Hope Group|Location is: Hope Group|5|20:00:00|21:00:00|901 W Douglas, WICHITA, KS 67213|37.683666|-97.35081300000002
Hope Group|Location is: Hope Group|3|20:30:00|21:30:00|901 W Douglas, WICHITA, KS 67213|37.683666|-97.35081300000002
Phoenix Group|Location is: Phoenix Group|6|19:30:00|20:30:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group|Location is: Phoenix Group|2|19:30:00|20:30:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group 3|Location is: Phoenix Group|7|18:00:00|19:00:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group|Location is: Phoenix Group|7|19:30:00|20:30:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group 4|Location is: Phoenix Group|1|11:00:00|12:00:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group 3|Location is: Phoenix Group|1|18:00:00|19:00:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group|Location is: Phoenix Group|5|19:30:00|20:30:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group|Location is: Phoenix Group|3|19:30:00|20:30:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Phoenix Group 2|Location is: Phoenix Group|4|19:00:00|20:00:00|123 N Sycamore, WICHITA, KS 67203|37.685237|-97.3473209
Early Bird Group|Location is: Early Bird Group|6|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Early Bird Group|Location is: Early Bird Group|2|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Strange as it May Seem Group|Location is: Early Bird Group|2|19:00:00|20:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Early Bird Group|Location is: Early Bird Group|7|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Early  Bird  Group|Location is: Early Bird Group|1|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Old Town Group|Location is: Early Bird Group|1|09:45:00|10:45:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Early Bird Group|Location is: Early Bird Group|5|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
"Strange as it Seems" Group|Location is: Early Bird Group|5|18:30:00|19:30:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Early Bird Group|Location is: Early Bird Group|3|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
"Strange as it Seems" Group|Location is: Early Bird Group|3|18:30:00|19:30:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Early Bird Group|Location is: Early Bird Group|4|08:00:00|09:00:00|901 E 3rd, WICHITA, KS 67202|37.691407|-97.327338
Northeast Group|Location is: Northeast Group|6|11:30:00|12:30:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group|Location is: Northeast Group|2|11:30:00|12:30:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group 2|Location is: Northeast Group|2|20:00:00|21:00:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group 4|Location is: Northeast Group|7|13:00:00|14:00:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group 5|Location is: Northeast Group|1|11:00:00|12:00:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group|Location is: Northeast Group|5|11:30:00|12:30:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group 3|Location is: Northeast Group|5|19:00:00|20:00:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group|Location is: Northeast Group|3|11:30:00|12:30:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group|Location is: Northeast Group|4|11:30:00|12:30:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Northeast Group 2|Location is: Northeast Group|4|20:00:00|21:00:00|530 N Cleveland, WICHITA, KS 67214|37.694533|-97.32153299999999
Westside Group|Location is: Westside Group|6|12:00:00|13:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|6|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group|Location is: Westside Group|2|12:00:00|13:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|2|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group|Location is: Westside Group|7|12:00:00|13:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|7|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 3|Location is: Westside Group|1|11:00:00|12:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|1|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group|Location is: Westside Group|5|12:00:00|13:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|5|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group|Location is: Westside Group|3|12:00:00|13:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|3|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group|Location is: Westside Group|4|12:00:00|13:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
Westside Group 2|Location is: Westside Group|4|20:00:00|21:00:00|1101 S Glenn, WICHITA, KS 67213|37.671062|-97.362957
U.I.R. Group|Location is: U.I.R. Group|6|08:00:00|09:00:00|1206 E Waterman, WICHITA, KS 67211|37.68286|-97.32278500000001
